energy,IBD
1.806,0
1.8065,1.0471427162126189458892599317576527571469145390483e-45
1.807,1.5381876116650000533429882213603094423654074245674e-45
1.8075,1.9083140688394750116978524300101641964968528529668e-45
1.808,2.2188840421399531697407068241806922714547925013395e-45
1.8085,2.4922653786977802019511717461255279890382193894924e-45
1.809,2.7396163495400584100258866906128873636390098237861e-45
1.8095,2.9674557555994521333197166684367185861907784693548e-45
1.81,3.1799824971368309409461852938557509506541434961856e-45
1.8105,3.380088316292938565483322967816392620108974862977e-45
1.811,3.569864553124400201478420309082853076355765795841e-45
1.8115,3.7508813144782630274057601379119483941936345661718e-45
1.812,3.9243527377549645762554954115555258096749875612055e-45
1.8125,4.0912404631777278375662702307996380594460346721831e-45
1.813,4.2523213983838553449138019821297380120255422909421e-45
1.8135,4.4082337681582921187823884655364614464627636489644e-45
1.814,4.5595093904090006435027366662824589973465078378987e-45
1.8145,4.7065969004121580288706667015215322483209527341407e-45
1.815,4.8498788440185023245800546010730609064280623912672e-45
1.8155,4.989684508300239464332949981202987281515961464946e-45
1.816,5.1262997204182564556830552157124611614973572710752e-45
1.8165,5.2599744464253841679234483535470842470527604286564e-45
1.817,5.3909287648820228658107798595531222944329265088916e-45
1.8175,5.5193576206912814729364185255120182273732633487738e-45
1.818,5.6454346502409655603105521547952137957700312978026e-45
1.8185,5.7693152902678682014924922179343142393938335026128e-45
1.819,5.8911393277445158567882237123626518757025201642653e-45
1.8195,6.0110330088373662273398280225146459194054632126672e-45
1.82,6.1291107966200142710041872676262450396351930773487e-45
1.8205,6.2454768464403338530780438715301948445612919642703e-45
1.821,6.3602262524242436580593912286785343189271398794694e-45
1.8215,6.4734461070269941250849133962297005122351540075023e-45
1.822,6.5852164067694293392661899418802444640297209992421e-45
1.8225,6.6956108305733878298563146042735188426040367201756e-45
1.823,6.8046974119153800876171476624226048894753312233322e-45
1.8235,6.912539121964099578520756094983395850918606341152e-45
1.824,7.0191943776843875095165710786495467054511504021121e-45
1.8245,7.1247174863668122316224678048380583397470270312957e-45
1.825,7.2291590360319007508506109806439308595794952465108e-45
1.8255,7.3325662395414409057343048837909166650499088541918e-45
1.826,7.4349832389462968904269281860090639480907101702868e-45
1.8265,7.5364513755385738553890879373657403062845107088715e-45
1.827,7.6370094302107399459418722899627989096041326327193e-45
1.8275,7.736693838010767188357027275229546646254811920044e-45
1.828,7.8355388801961551944459072826171168769700566081074e-45
1.8285,7.9335768566007332765414103012595021524278621894402e-45
1.829,8.030838240722904101460504656168024529054473320835e-45
1.8295,8.1273518196021743541262728604783846225905740966627e-45
1.83,8.2231448202664271095858744617905278397244209123292e-45
1.8305,8.3182430242898636861313453933723549309565882201552e-45
1.831,8.412670871798357688653143524952188762036641069913e-45
1.8315,8.5064515560836954154443072059269691217566740184716e-45
1.832,8.5996071098415148722894867503175688654671713982099e-45
1.8325,8.6921584839197496527514471694239879938758197925863e-45
1.833,8.7841256193566723938183141275236552042587616677722e-45
1.8335,8.8755275133923863362669308550344598983431036707828e-45
1.834,8.9663822800581312521562093892265900557729226421362e-45
1.8345,9.0567072058764924460064129944432521963114310156376e-45
1.835,9.1465188011458406665891935188929975597741842932738e-45
1.8355,9.2358328472278567066878867296602469258955677168341e-45
1.836,9.3246644402121672563160208709495021573030726449732e-45
1.8365,9.4130280312905021513114024551163356497474679095559e-45
1.837,9.5009374641383816995086883803666468423042642767296e-45
1.8375,9.5884060095697079179369667672826181253983711886284e-45
1.838,9.6754463977035568975365269022149769736199887366425e-45
1.8385,9.7620708478570977093369407081793785057021575897165e-45
1.839,9.8482910963581808533664196965460827016476875611874e-45
1.8395,9.934118422450718791334986223746936869670095615038e-45
1.84,1.0019563672450475362764860210960147580278178253936e-44
1.8405,1.0104637282292771320975170738407088347731717315348e-44
1.841,1.0189349298601283809534331823760328102655842749248e-44
1.8415,1.0273709398393791309699606168712187305054938760019e-44
1.842,1.0357726907531385965703345441128442136751284531534e-44
1.8425,1.0441410818007036692529126823344985328816495191392e-44
1.843,1.0524769804161840545475425504612128887006433187225e-44
1.8435,1.0607812237908233570965485068358222644489828768739e-44
1.844,1.0690546203033825711109221674409886089993844200814e-44
1.8445,1.0772979508652220374645936600596804581847584829519e-44
1.845,1.0855119701862559676665486060947651704768082516237e-44
1.8455,1.0936974079673105465543841506073078737587308480629e-44
1.846,1.1018549700240866361417729039739722966220630502166e-44
1.8465,1.1099853393474067231088825837191581801994049214795e-44
1.847,1.1180891771041475285008890857444561015619885265441e-44
1.8475,1.1261671235827840682996266850540719137592128874405e-44
1.848,1.1342197990872873999475726467934839714414639822189e-44
1.8485,1.1422478047827312848476727012382604887363290288196e-44
1.849,1.1502517234958028302156585848332695842675643605429e-44
1.8495,1.1582321204730455738969459659961815694859941175968e-44
1.85,1.1661895440995748971018878461792597867312935042271e-44
1.8505,1.1741245265807070481132196193742072400193864347772e-44
1.851,1.1820375845888603204979608549616076899130328593328e-44
1.8515,1.1899292198777929206986520408000048155449860494681e-44
1.852,1.1977999198662162588179607070675238932851344544726e-44
1.8525,1.2056501581925831974853477768652005120784407667042e-44
1.853,1.2134803952428197684394736466819175963910052410114e-44
1.8535,1.2212910786525241968734133779753055328864432668155e-44
1.854,1.2290826437851734673507880348537757543468320416486e-44
1.8545,1.2368555141876791717721076492072499513912455567274e-44
1.855,1.2446101020246384586139448605300626656962097251473e-44
1.8555,1.2523468084924154205221620211621347599723071596131e-44
1.856,1.2600660242142334301057285827866197117778978269932e-44
1.8565,1.2677681296172888479100298764483131859747729360824e-44
1.857,1.2754534952929247777330724212484396068006674116342e-44
1.8575,1.283122482340717184139374475798855407387291836882e-44
1.858,1.2907754426973907396462010013410923810999085682581e-44
1.8585,1.2984127194513318511888823470645583469728386305014e-44
1.859,1.3060346471435114224040232963837647374117727713222e-44
1.8595,1.3136415520554608622654092176097516907864968000426e-44
1.86,1.3212337524850237856124601613644322571487189816854e-44
1.8605,1.3288115590104704858662863951945565575321877749774e-44
1.861,1.3363752747436192501305336975228488012944551273497e-44
1.8615,1.34392519557245217368324176089153732477614843341e-44
1.862,1.3514616103938018480136831884972195854641689471658e-44
1.8625,1.3589848013365605954329007501636426258297932796495e-44
1.863,1.3664950439759293691218625266335332338440635488099e-44
1.8635,1.3739926075390763868488866871727365347758767255377e-44
1.864,1.3814777551026712262866889573004839904587979700944e-44
1.8645,1.3889507437826433395659769864997128594274431714141e-44
1.865,1.3964118249165854547746732412394535888313506815497e-44
1.8655,1.4038612442390823255340770507963170570550621461626e-44
1.866,1.4112992420503459026154747625505880624280836303644e-44
1.8665,1.4187260533784272134808694893101668555205957491384e-44
1.867,1.4261419081353511217221373253439025557799511255908e-44
1.8675,1.4335470312673855087899731263452175923759381700931e-44
1.868,1.4409416428997605781773485668233172523266676313914e-44
1.8685,1.4483259584760477683575716340317620112095107680039e-44
1.869,1.4557001888924868190135497123356978239632057686724e-44
1.8695,1.4630645406274190675718490623980947193573643282902e-44
1.87,1.4704192158660917499553165003762676927367368297043e-44
1.8705,1.4777644126209954092983662769717582307616397420549e-44
1.871,1.4851003248479778804456717458052739061538700403625e-44
1.8715,1.4924271425582511155715064328946209920383314192753e-44
1.872,1.4997450519265156282719359019382231055372404462712e-44
1.8725,1.5070542353953274433851973408956114168804011660199e-44
1.873,1.5143548717759154813417770248130417197810141729137e-44
1.8735,1.5216471363455326977010181367781742141956307677049e-44
1.874,1.5289312009415341011165430085554035931700446903794e-44
1.8745,1.5362072340522770902910680044653696373429044060799e-44
1.875,1.5434754009050238105902425596786059585415102871524e-44
1.8755,1.5507358635509027094918763505864617411957467691773e-44
1.876,1.5579887809470939619422712961648503395250886799074e-44
1.8765,1.5652343090363332812700790474787658240788500397826e-44
1.877,1.5724726008238236328097140437470243998941153210416e-44
1.8775,1.5797038064517038238406661530400563752639304795788e-44
1.878,1.5869280732711057270748204959761568303859398582666e-44
1.8785,1.5941455459119433585577544122164824545053323952293e-44
1.879,1.6013563663504828776384480437263776944220489995877e-44
1.8795,1.6085606739748284785308533767159218507097324694254e-44
1.88,1.6157586056483400252915062465139479308556622401549e-44
1.8805,1.6229502957711101288352380616676059222632666811919e-44
1.881,1.6301358763395353368404426241636145935144284497255e-44
1.8815,1.6373154770041024201637011675638987986804626768333e-44
1.882,1.6444892251253927303488026102449206401986864785468e-44
1.8825,1.6516572458284196944081189949597484214389272996289e-44
1.883,1.6588196620553224193513884943510854741491800922984e-44
1.8835,1.6659765946165249761072422468418894765932573623492e-44
1.884,1.673128162240353854669066703605922687709663710608e-44
1.8845,1.6802744816212183177600140397211649025606350381511e-44
1.885,1.6874156674663670684803641592258989458395297908806e-44
1.8855,1.6945518325413214353040477150335728951174653199028e-44
1.886,1.7016830877139689883859159334893670865352750069713e-44
1.8865,1.7088095419974138073544477256672374026265624623137e-44
1.887,1.7159313025915889684644203859174951964147295318355e-44
1.8875,1.7230484749237237284853329956239406612597801005607e-44
1.888,1.7301611626876422654713850028911464727359392309838e-44
1.8885,1.7372694678819831611468825221028399257471217416819e-44
1.889,1.7443734908473387174893563804663989254480059685953e-44
1.8895,1.7514733303024001804841004931430293115870973898683e-44
1.89,1.7585690833790799033228708898146190049387517838138e-44
1.8905,1.765660845656693787447496292242438904226869892595e-44
1.891,1.7727487111951977262592309840977286496063377334834e-44
1.8915,1.7798327725675587907927649991374139712448836567284e-44
1.892,1.7869131208912273529253792856009458980189836452687e-44
1.8925,1.7939898458587886042004311086630512997212753203593e-44
1.893,1.8010630357677827256880466456717745091761463196614e-44
1.8935,1.808132777549769986596272669326498153377649722564e-44
1.894,1.8151991567986029357201608378419306146691330301757e-44
1.8945,1.8222622577979800523364970270511184771200013875204e-44
1.895,1.8293221635482663747586655900846748214550772646115e-44
1.8955,1.8363789557926536365907043928817544773345453514588e-44
1.896,1.8434327150426187004174540787519915916055055317042e-44
1.8965,1.8504835206027512114535887521153340582316887422747e-44
1.897,1.857531450594932851622715912452377027471072589159e-44
1.8975,1.8645765819819375637030248056216761403284983783236e-44
1.898,1.8716189905904086995140841797334802334214869064811e-44
1.8985,1.8786587511332811044130368407344766361421420238729e-44
1.899,1.8856959372316278737444764391100267935436039323577e-44
1.8995,1.8927306214359984758352515280877643884127402466957e-44
1.9,1.8997628752472018029709562732561168872271445860836e-44
1.9005,1.9067927691365996945828531861018185987233264843416e-44
1.901,1.9138203725658884304279704681693540038161439530463e-44
1.9015,1.9208457540064326162437377556888238510830046618811e-44
1.902,1.9278689809581029969234761214151805158758267144043e-44
1.9025,1.9348901199676816413451139092562573704112771505172e-44
1.903,1.9419092366468100960828538415371357898967675636932e-44
1.9035,1.948926395689542994334775794181917616226422747715e-44
1.904,1.9559416608894569322933577835865328777032882379085e-44
1.9045,1.9629550951563762644466388954457244768934787283737e-44
1.905,1.9699667605326897950936512974006734961692457969136e-44
1.9055,1.9769767182093191975515732486207041777155036762694e-44
1.906,1.9839850285412875030124925568457063585512047220803e-44
1.9065,1.9909917510629477758571199767658917089913506815818e-44
1.907,1.9979969445028445670187058913376232237134128504957e-44
