energy,IBD
1.806,0
1.8065,2.3024079436638886046277974369262645106605174577825e-45
1.807,2.5571791569664158649109604158575439107506996514809e-45
1.8075,2.7898456667479221760495253241710380365963065783029e-45
1.808,3.0055477241861367946966529448081212684069197258205e-45
1.8085,3.2077116550046127360998325061855096340784728472726e-45
1.809,3.3987561934193077225737255516475613618580111965681e-45
1.8095,3.5804636484783156669325367135330298703663332768502e-45
1.81,3.7541919125564318932725110725174972844781258331036e-45
1.8105,3.9210035243463882195200223462681004169304768895829e-45
1.811,4.0817482966872138901027977908607089664107988737397e-45
1.8115,4.2371184244899346999354555593813426068937729459681e-45
1.812,4.3876865061886931842690520744572601557408144429674e-45
1.8125,4.5339325373393389629300727230359033090345455998427e-45
1.813,4.6762635492162521910213793495747849532212724908573e-45
1.8135,4.8150282018750585612990947828756229036838699630674e-45
1.814,4.950527830304493160690833056475951222109618052074e-45
1.8145,5.0830249431541324341714283381096621335376614350043e-45
1.815,5.2127498568863622109412829152570905565522970322028e-45
1.8155,5.3399059419367861961258751067385558092032947766961e-45
1.816,5.4646738199089776524061001843567108938016315986181e-45
1.8165,5.5872147571347555388592780770332194563383860043194e-45
1.817,5.7076734348980429698113378217678511851516729181576e-45
1.8175,5.8261802306960486351109978707308616095715205323845e-45
1.818,5.942853111977700460440189147246384165326741559886e-45
1.8185,6.0577992198374337881762964706215485290775358727145e-45
1.819,6.1711162024842205050392853920961921967269815402082e-45
1.8195,6.2828933451306956501408812761535567817837275394288e-45
1.82,6.3932125330130359562297644298698577687017976035319e-45
1.8205,6.5021490766789623545520931995046690142701813488953e-45
1.821,6.6097724228570880548119652727975133374543405226475e-45
1.8215,6.7161467696970365863130205460807645202280739676544e-45
1.822,6.8213316016320422177217458984187357740602709043484e-45
1.8225,6.9253821563223521466521614566153675228990543499975e-45
1.823,7.0283498339205133148793175344671791636936125653835e-45
1.8235,7.1302825571229416471971538400365028689922951838394e-45
1.824,7.2312250890445272171936384037807216005952392195972e-45
1.8245,7.3312193147937330190987283978967139597717531274747e-45
1.825,7.430304491683316668872080073248508722225033816905e-45
1.8255,7.5285174722371000374044785809975015320295317450312e-45
1.826,7.6258929035181517673386435062192659552930852043187e-45
1.8265,7.7224634057755978889317000536088500707070712769002e-45
1.827,7.8182597329703989880852927182107489873422349004573e-45
1.8275,7.9133109173729966959736866983338320284868210783076e-45
1.828,8.0076444001204308656539905121932163325505315382328e-45
1.8285,8.1012861493609295956938310165769045428537362154266e-45
1.829,8.1942607673967272171937223188876029672260990309275e-45
1.8295,8.2865915880490327947197285379463749898234245207012e-45
1.83,8.3783007653127884899876273716630464549823447585315e-45
1.8305,8.4694093542328894515241541181431852159767841338398e-45
1.831,8.5599373848191490683604218948259786847185884589262e-45
1.8315,8.6499039297164957238995198542823315294092372126872e-45
1.832,8.7393271662626990150928435659015707343277970594247e-45
1.8325,8.8282244334907177290030625841148901207757020126401e-45
1.833,8.9166122845696477976915557392206430537531232885331e-45
1.8335,9.0045065351209698604641618289798404133481752263224e-45
1.834,9.0919223077995423796153082999794697568443631920495e-45
1.8345,9.1788740734851387574729378168700053253227209404123e-45
1.835,9.2653756893941567966603751461088721713787548828154e-45
1.8355,9.3514404343870164067147617076756486273998355660445e-45
1.836,9.4370810417193737126796584234800713828784892655666e-45
1.8365,9.5223097294588162294837835914134994503259205235112e-45
1.837,9.6071382287673468040261405670972874433415347215154e-45
1.8375,9.69157781022873832409035078372481844608993420391e-45
1.838,9.7756393083835958955182454727151526316458979716167e-45
1.8385,9.8593331446182482369776624673971643547510476153378e-45
1.839,9.9426693485407015530718607884763208147569383584454e-45
1.8395,1.0025657577963112669553105220907490068383244672653e-44
1.84,1.0108307137600473985599551183509867194911424876052e-44
1.8405,1.0190626996584220570977812942144324974228282496541e-44
1.841,1.0272625804881590464859292446796326513382787004866e-44
1.8415,1.035431190870224717257887334372354940735314470719e-44
1.842,1.0435693364967800671944853804867494201015055400842e-44
1.8425,1.0516777954912361193708512559073368084346336856283e-44
1.843,1.0597573196877433870047116433198614148479406565552e-44
1.8435,1.0678086358357885503862128620232870490524639190351e-44
1.844,1.0758324467352244936261260344631136077331219690572e-44
1.8445,1.0838294323065270111750409151592329533148707952027e-44
1.845,1.0918002506007799494604497059644925054494447273128e-44
1.8455,1.0997455387534067056149044138019780690557388986766e-44
1.846,1.1076659138854711055140665364106525098125197197579e-44
1.8465,1.1155619739559771362811778697351742186644642697222e-44
1.847,1.1234342985684278796338444214064811965030015364051e-44
1.8475,1.1312834497345329794652032688540919739406641328765e-44
1.848,1.139109972597857448296585492725594525391759300989e-44
1.8485,1.146914396119902434966463822711435716620613730952e-44
1.849,1.154697233731019527395775714134458722190359506629e-44
1.8495,1.1624589839482640543992633126874203793026766367115e-44
1.85,1.1702001309622611919853782626379630827140108684209e-44
1.8505,1.1779211451949177213443736492389250197425805235148e-44
1.851,1.185622483829776602695525434275329963992620968272e-44
1.8515,1.1933045913165661914931141318852319913561342222864e-44
1.852,1.2009678998515077776127741749996736482648534016075e-44
1.8525,1.2086128298347460153244618525318709370687116285818e-44
1.853,1.2162397903062672819088367677180739895083936141319e-44
1.8535,1.2238491793614607551981976415384121407116335606445e-44
1.854,1.2314413845475184805816335755209636923968048162247e-44
1.8545,1.2390167832417007170709894045670429502802602570556e-44
1.855,1.2465757430125181741261241802416937620919332448691e-44
1.8555,1.2541186219646972012829452990370812364957557899956e-44
1.856,1.2616457690688559081820568623262548882969981939479e-44
1.8565,1.2691575244766698459252301912724123213979709176676e-44
1.857,1.2766542198223485071047195203674098149670054839013e-44
1.8575,1.2841361785110760379461529146985265899809025495923e-44
1.858,1.2916037159951457252893483690194763123741401210877e-44
1.8585,1.2990571400383833301994759445758674301916232631308e-44
1.859,1.3064967509695091509364218073325441438512480848889e-44
1.8595,1.3139228419249337080510226623253890845967690361218e-44
1.86,1.3213356990815681489731566970902939100958831492139e-44
1.8605,1.3287356018801068410388448883780529654833415197434e-44
1.861,1.3361228232393030952406868467171379209755460881163e-44
1.8615,1.3434976297616134925299444034564621063638560879908e-44
1.862,1.3508602819306796077512800234242866762473084985767e-44
1.8625,1.3582110343010003589490438754038239034711112663381e-44
1.863,1.3655501356802178914055428401448244947040001488907e-44
1.8635,1.3728778293043015812227148133315718458128707456593e-44
1.864,1.3801943530060131447418365856046494900786923434574e-44
1.8645,1.3874999393769263403079273215532180514638875231807e-44
1.865,1.3947948159233489090075174095127230879691493008199e-44
1.8655,1.4020792052163615188442133155607169468614194455315e-44
1.866,1.4093533250362905140951786068690826652969783763052e-44
1.8665,1.4166173885118264014480336780154478219258206358737e-44
1.867,1.4238716042540774112151205285527741084415689115976e-44
1.8675,1.431116176485718792838015954072246192675102544305e-44
1.868,1.438351305165503147852349431865081865564380115977e-44
1.8685,1.4455771861082958123487011334913542657186995029726e-44
1.869,1.4527940111008790687540401645466524908007010380335e-44
1.8695,1.460001968013643577313297868739070191489164026365e-44
1.87,1.4672012409083919282043337047061832896306720441647e-44
1.8705,1.4743920101423807258374277071391843789029254030558e-44
1.871,1.4815744524688091041225828255491895849519977457625e-44
1.8715,1.4887487411338387898467458486979195682913460837111e-44
1.872,1.4959150459703386726797481769816564511386487441284e-44
1.8725,1.5030735334884505707389043976191760512330816742314e-44
1.873,1.5102243669631556191048775018193635488625496697832e-44
1.8735,1.5173677065189000195734595133718704357619464788039e-44
1.874,1.5245037092114476722057490699313328728780371770038e-44
1.8745,1.5316325291070327185942271218287576558536817726864e-44
